x,y
-392.58,-5.3526
-392.43,-4.447
-392.27,-3.8447
-392.25,-3.0513
-383.66,-24.016
-383.57,-24.014
-383.58,14.936
-383.47,-24.015
-383.47,-23.997
-383.33,14.942
-383.28,-23.996
-383.19,-24.003
-383.19,-23.995
-382.9,-24.027
-382.81,-24.038
-379.55,-18.538
-373.32,-8.053
-373.27,-7.9653
-373.04,-24.059
-372.75,-24.062
-372.36,-24.068
-372.27,-24.032
-371.79,-18.74
-371.76,-18.645
-371.74,-18.539
-371.45,-3.8598
-370.53,-18.827
-369.44,-17.236
-369.43,-17.14
-369.42,-17.054
-369.41,-16.944
-369.41,-16.863
-369.36,-17.455
-369.37,-16.953
-369.37,-16.741
-369.35,-16.653
-369.25,-16.552
-366.58,-3.9551
-366.53,-3.7481
-365.35,-16.654
-365.16,-16.755
-364.64,-0.24066
-364.55,-0.34264
-364.46,-0.3573
-364.34,-0.34421
-364.26,-0.35799
-363.85,-16.941
-363.84,-16.851
-363.84,-16.757
-363.77,-16.933
-363.74,-16.655
-363.73,-16.481
-363.66,-16.555
-363.55,-16.544
-363.53,-0.26717
-363.44,-16.477
-363.35,-16.468
-362.6,-24.062
-362.25,-16.525
-362.04,-16.566
-361.94,16.457
-361.85,-16.565
-361.87,-3.9482
-361.84,-3.8677
-361.84,-3.7371
-361.65,-16.639
-361.44,-16.571
-361.34,-16.63
-361.24,-16.561
-361.14,-4.0392
-361.05,-16.639
-361.05,-16.579
-360.93,-16.638
-360.75,-16.64
-360.64,-16.64
-360.46,-16.65
-360.46,-16.564
-360.36,-16.613
-360.37,16.181
-360.26,-16.625
-360.16,-16.64
-360.05,-16.632
-359.94,-16.654
-359.97,16.24
-359.84,-16.773
-359.75,-16.659
-359.62,16.253
-359.23,16.275
-358.22,16.137
-357.87,0.83308
-357.55,0.25072
-357.44,0.26843
-357.36,-17.147
-357.36,-17.058
-357.37,-16.945
-357.34,-16.847
-357.16,0.26396
-356.84,0.24211
-356.43,-4.1403
-356.47,-4.0368
-356.46,-3.9696
-356.13,0.34201
-355.94,0.3705
-355.88,0.3561
-355.44,0.35865
-355.25,0.14737
-354.43,-3.1595
-354.34,-2.6442
-354.24,-16.548
-354.23,0.54148
-354.27,0.76491
-353.54,-1.7631
-353.55,-1.6363
-352.74,-0.32975
-352.65,-0.034135
-348.04,-0.2297
-347.94,-0.22513
-347.23,-0.24029
-346.25,-0.24367
-345.84,-0.16728
-345.73,-0.25408
-343.16,0.82511
-341.95,0.87792
-341.84,1.0271
-341.75,1.2496
-341.72,1.3611
-341.66,1.6688
-341.63,1.8413
-341.65,1.9436
-338.46,-6.54
-338.46,-6.4464
-338.44,-6.3545
-338.45,-6.1657
-338.45,-6.0582
-338.45,-5.9837
-337.45,-17.955
-337.46,-17.824
-336.94,-0.26384
-336.85,0.75067
-336.54,0.34236
-336.55,0.42907
-336.54,2.1418
-336.46,0.96336
-336.47,2.1884
-336.45,2.249
-335.63,-5.1473
-335.63,-5.058
-335.57,-5.3358
-335.56,-5.1397
-335.57,-5.0756
-333.75,-17.335
-332.75,-17.262
-332.76,8.0542
-332.53,8.022
-332.27,8.0199
-331.86,-17.273
-331.65,-17.259
-331.24,-17.26
-330.95,-17.258
-330.76,-17.247
-330.64,-17.269
-330.66,-5.0428
-330.65,-4.9538
-330.65,-4.8719
-330.55,-17.276
-330.45,-17.33
-330.34,-17.54
-330.36,-17.355
-330.25,-17.656
-330.26,-17.44
-330.15,-18.555
-330.13,-18.441
-330.13,-18.261
-330.13,-18.159
-330.15,-18.052
-330.13,-17.952
-330.15,-17.875
-330.13,-17.768
-330.13,-17.649
-330.14,-17.556
-330.06,-18.379
-329.65,8.2324
-329.13,8.6406
-328.94,-0.17225
-328.55,-0.23314
-328.56,-0.13722
-328.55,-0.038943
-328.54,0.033584
-328.53,0.13594
-328.55,0.25602
-328.51,0.44984
-328.47,0.55346
-328.43,0.7408
-327.28,8.6391
-326.95,-17.258
-326.85,-17.275
-326.87,8.6473
-326.74,-17.268
-326.77,8.6399
-326.64,-17.281
-326.56,-17.317
-326.47,-17.342
-326.46,-17.272
-326.23,-17.257
-326.16,-17.254
-326.04,-17.242
-325.95,-17.24
-325.83,-17.237
-325.66,-17.221
-325.55,-17.239
-325.44,-17.24
-325.34,-17.231
-325.25,-17.231
-325.14,-17.229
-324.97,-17.226
-324.85,-17.235
-324.75,-17.225
-324.75,7.7577
-324.66,-17.238
-324.66,7.7615
-324.64,9.0352
-324.56,-17.233
-324.57,7.8488
