x,y
52.275559,10.529844
52.275567,10.529846
52.275572,10.529849
52.275579,10.529849
52.275389,10.529969
52.275389,10.52997
52.275739,10.529982
52.275389,10.529971
52.275389,10.529971
52.275739,10.529986
52.275389,10.529974
52.275389,10.529976
52.275389,10.529976
52.275389,10.52998
52.275389,10.529981
52.275438,10.530031
52.275531,10.530125
52.275532,10.530126
52.275387,10.530124
52.275387,10.530129
52.275387,10.530134
52.275387,10.530136
52.275434,10.530144
52.275435,10.530145
52.275436,10.530145
52.275568,10.530154
52.275433,10.530163
52.275448,10.530179
52.275448,10.530179
52.275449,10.530179
52.27545,10.53018
52.275451,10.53018
52.275446,10.53018
52.27545,10.53018
52.275452,10.53018
52.275453,10.530181
52.275454,10.530182
52.275566,10.530225
52.275568,10.530226
52.275452,10.530239
52.275451,10.530242
52.275599,10.530255
52.275598,10.530256
52.275598,10.530257
52.275598,10.530259
52.275598,10.53026
52.275449,10.530261
52.27545,10.530261
52.275451,10.530261
52.275449,10.530262
52.275452,10.530263
52.275453,10.530263
52.275453,10.530264
52.275453,10.530266
52.275599,10.530271
52.275453,10.530267
52.275453,10.530269
52.275385,10.530277
52.275453,10.530285
52.275452,10.530288
52.275749,10.530299
52.275452,10.530291
52.275566,10.530294
52.275566,10.530295
52.275567,10.530295
52.275451,10.530293
52.275452,10.530297
52.275451,10.530298
52.275452,10.5303
52.275565,10.530305
52.275451,10.530302
52.275452,10.530302
52.275451,10.530304
52.275451,10.530307
52.275451,10.530308
52.275451,10.530311
52.275452,10.530311
52.275451,10.530312
52.275746,10.530322
52.275451,10.530314
52.275451,10.530315
52.275451,10.530317
52.275451,10.530318
52.275747,10.530328
52.27545,10.53032
52.275451,10.530321
52.275747,10.530333
52.275747,10.530339
52.275745,10.530354
52.275608,10.530354
52.275602,10.530359
52.275603,10.53036
52.275446,10.530356
52.275447,10.530356
52.275448,10.530356
52.275449,10.530356
52.275603,10.530365
52.275602,10.530369
52.275563,10.530374
52.275564,10.530373
52.275564,10.530373
52.275603,10.53038
52.275603,10.530382
52.275603,10.530383
52.275603,10.53039
52.275601,10.530392
52.275571,10.530403
52.275576,10.530405
52.275451,10.530402
52.275604,10.530407
52.275606,10.530407
52.275584,10.530417
52.275585,10.530417
52.275596,10.530429
52.275599,10.53043
52.275596,10.530498
52.275596,10.530499
52.275596,10.53051
52.275596,10.530524
52.275596,10.53053
52.275596,10.530532
52.275605,10.53057
52.275605,10.530588
52.275606,10.530589
52.275608,10.530591
52.275609,10.530591
52.275612,10.530592
52.275614,10.530592
52.275615,10.530592
52.275538,10.530636
52.275539,10.530636
52.275539,10.530637
52.275541,10.530637
52.275542,10.530637
52.275543,10.530637
52.275435,10.530648
52.275436,10.530647
52.275594,10.530661
52.275603,10.530662
52.275599,10.530667
52.2756,10.530667
52.275615,10.530667
52.275605,10.530668
52.275616,10.530668
52.275616,10.530669
52.27555,10.530678
52.275551,10.530678
52.275548,10.530679
52.27555,10.530679
52.27555,10.530679
52.27544,10.530702
52.27544,10.530717
52.275668,10.530724
52.275668,10.530728
52.275667,10.530732
52.27544,10.53073
52.27544,10.530733
52.27544,10.530739
52.27544,10.530743
52.27544,10.530746
52.27544,10.530748
52.27555,10.530751
52.275551,10.530751
52.275551,10.530751
52.27544,10.530749
52.275439,10.53075
52.275437,10.530752
52.275439,10.530752
52.275436,10.530753
52.275438,10.530753
52.275428,10.530754
52.275429,10.530755
52.275431,10.530755
52.275432,10.530755
52.275433,10.530755
52.275434,10.530755
52.275434,10.530755
52.275435,10.530755
52.275436,10.530755
52.275437,10.530755
52.27543,10.530756
52.275669,10.53077
52.275672,10.530778
52.275593,10.530778
52.275593,10.530783
52.275593,10.530783
52.275594,10.530784
52.275595,10.530784
52.275596,10.530784
52.275597,10.530784
52.275599,10.530784
52.2756,10.530785
52.275601,10.530785
52.275672,10.530805
52.275439,10.530802
52.275439,10.530803
52.275672,10.530811
52.275439,10.530805
52.275672,10.530812
52.275439,10.530806
52.275439,10.530807
52.275438,10.530809
52.275439,10.530809
52.275439,10.530812
52.275439,10.530813
52.275439,10.530815
52.275439,10.530816
52.275439,10.530818
52.275439,10.530821
52.275439,10.530822
52.275439,10.530824
52.275439,10.530825
52.275439,10.530827
52.275439,10.530828
52.275439,10.530831
52.275439,10.530832
52.275439,10.530834
52.275664,10.530842
52.275439,10.530835
52.275664,10.530843
52.275675,10.530844
52.275439,10.530837
52.275664,10.530844
52.275439,10.530838
52.275439,10.53084
52.27554,10.530844
52.275439,10.530841
52.27554,10.530845
52.275545,10.530845
52.275439,10.530843
52.275541,10.530846
52.275541,10.530846
52.275542,10.530846
52.275543,10.530847
52.275544,10.530847
52.275545,10.530847
52.275546,10.530847
52.275438,10.530844
52.275439,10.530844
52.275543,10.530847
52.275544,10.530847
52.275545,10.530847
52.275546,10.530847
52.275546,10.530848
52.275438,10.530846
52.275439,10.530845
52.275439,10.530847
52.275438,10.530849
52.275439,10.530849
52.275425,10.53085
52.275439,10.53085
