x,y
604375.42,5792789.6
604375.57,5792790.6
604375.73,5792791.2
604375.75,5792791.9
604384.34,5792771
604384.43,5792771
604384.42,5792809.9
604384.53,5792771
604384.53,5792771
604384.67,5792809.9
604384.72,5792771
604384.81,5792771
604384.81,5792771
604385.1,5792771
604385.19,5792771
604388.45,5792776.5
604394.68,5792786.9
604394.73,5792787
604394.96,5792770.9
604395.25,5792770.9
604395.64,5792770.9
604395.73,5792771
604396.21,5792776.3
604396.24,5792776.4
604396.26,5792776.5
604396.55,5792791.1
604397.47,5792776.2
604398.56,5792777.8
604398.57,5792777.9
604398.58,5792777.9
604398.59,5792778.1
604398.59,5792778.1
604398.64,5792777.5
604398.63,5792778
604398.63,5792778.3
604398.65,5792778.3
604398.75,5792778.4
604401.42,5792791
604401.47,5792791.3
604402.65,5792778.3
604402.84,5792778.2
604403.36,5792794.8
604403.45,5792794.7
604403.54,5792794.6
604403.66,5792794.7
604403.74,5792794.6
604404.15,5792778.1
604404.16,5792778.1
604404.16,5792778.2
604404.23,5792778.1
604404.26,5792778.3
604404.27,5792778.5
604404.34,5792778.4
604404.45,5792778.5
604404.47,5792794.7
604404.56,5792778.5
604404.65,5792778.5
604405.4,5792770.9
604405.75,5792778.5
604405.96,5792778.4
604406.06,5792811.5
604406.15,5792778.4
604406.13,5792791.1
604406.16,5792791.1
604406.16,5792791.3
604406.35,5792778.4
604406.56,5792778.4
604406.66,5792778.4
604406.76,5792778.4
604406.86,5792791
604406.95,5792778.4
604406.95,5792778.4
604407.07,5792778.4
604407.25,5792778.4
604407.36,5792778.4
604407.54,5792778.4
604407.54,5792778.4
604407.64,5792778.4
604407.63,5792811.2
604407.74,5792778.4
604407.84,5792778.4
604407.95,5792778.4
604408.06,5792778.3
604408.03,5792811.2
604408.16,5792778.2
604408.25,5792778.3
604408.38,5792811.3
604408.77,5792811.3
604409.78,5792811.1
604410.13,5792795.8
604410.45,5792795.3
604410.56,5792795.3
604410.64,5792777.9
604410.64,5792777.9
604410.63,5792778.1
604410.66,5792778.2
604410.84,5792795.3
604411.16,5792795.2
604411.57,5792790.9
604411.53,5792791
604411.54,5792791
604411.87,5792795.3
604412.06,5792795.4
604412.12,5792795.4
604412.56,5792795.4
604412.75,5792795.1
604413.57,5792791.8
604413.66,5792792.4
604413.76,5792778.5
604413.77,5792795.5
604413.73,5792795.8
604414.46,5792793.2
604414.45,5792793.4
604415.26,5792794.7
604415.35,5792795
604419.96,5792794.8
604420.06,5792794.8
604420.77,5792794.8
604421.75,5792794.8
604422.16,5792794.8
604422.27,5792794.7
604424.84,5792795.8
604426.05,5792795.9
604426.16,5792796
604426.25,5792796.2
604426.28,5792796.4
604426.34,5792796.7
604426.37,5792796.8
604426.35,5792796.9
604429.54,5792788.5
604429.54,5792788.6
604429.56,5792788.6
604429.55,5792788.8
604429.55,5792788.9
604429.55,5792789
604430.55,5792777
604430.54,5792777.2
604431.06,5792794.7
604431.15,5792795.8
604431.46,5792795.3
604431.45,5792795.4
604431.46,5792797.1
604431.54,5792796
604431.53,5792797.2
604431.55,5792797.2
604432.37,5792789.9
604432.37,5792789.9
604432.43,5792789.7
604432.44,5792789.9
604432.43,5792789.9
604434.25,5792777.7
604435.25,5792777.7
604435.24,5792803.1
604435.47,5792803
604435.73,5792803
604436.14,5792777.7
604436.35,5792777.7
604436.76,5792777.7
604437.05,5792777.7
604437.24,5792777.8
604437.36,5792777.7
604437.34,5792790
604437.35,5792790
604437.35,5792790.1
604437.45,5792777.7
604437.55,5792777.7
604437.66,5792777.5
604437.64,5792777.6
604437.75,5792777.3
604437.74,5792777.6
604437.85,5792776.4
604437.87,5792776.6
604437.87,5792776.7
604437.87,5792776.8
604437.85,5792776.9
604437.87,5792777
604437.85,5792777.1
604437.87,5792777.2
604437.87,5792777.4
604437.86,5792777.4
604437.94,5792776.6
604438.35,5792803.2
604438.87,5792803.6
604439.06,5792794.8
604439.45,5792794.8
604439.44,5792794.9
604439.45,5792795
604439.46,5792795
604439.47,5792795.1
604439.45,5792795.3
604439.49,5792795.4
604439.53,5792795.6
604439.57,5792795.7
604440.72,5792803.6
604441.05,5792777.7
604441.15,5792777.7
604441.13,5792803.6
604441.26,5792777.7
604441.23,5792803.6
604441.36,5792777.7
604441.44,5792777.7
604441.53,5792777.7
604441.54,5792777.7
604441.77,5792777.7
604441.84,5792777.7
604441.96,5792777.8
604442.05,5792777.8
604442.17,5792777.8
604442.34,5792777.8
604442.45,5792777.8
604442.56,5792777.8
604442.66,5792777.8
604442.75,5792777.8
604442.86,5792777.8
604443.03,5792777.8
604443.15,5792777.8
604443.25,5792777.8
604443.25,5792802.8
604443.34,5792777.8
604443.34,5792802.8
604443.36,5792804
604443.44,5792777.8
604443.43,5792802.8
604443.55,5792777.7
604443.66,5792777.8
604443.69,5792789
604443.74,5792777.7
604443.75,5792789
604443.75,5792789.5
604443.85,5792777.8
604443.86,5792789.1
604443.85,5792789.2
604443.86,5792789.2
604443.87,5792789.3
604443.86,5792789.5
604443.87,5792789.5
604443.86,5792789.7
604443.96,5792777.7
604443.94,5792777.7
604443.92,5792789.3
604443.93,5792789.4
604443.92,5792789.6
604443.92,5792789.7
604443.93,5792789.7
604444.07,5792777.7
604444.04,5792777.7
604444.15,5792777.7
604444.25,5792777.7
604444.25,5792777.7
604444.36,5792776.2
604444.37,5792777.7
604444.45,5792777.7
604444.44,5792777.7
604444.55,5792777.7
604444.66,5792777.7
604444.64,5792777.8
604444.75,5792777.5
604444.75,5792777.6
604444.74,5792777.6
604444.74,5792777.8
604444.84,5792776.8
604444.83,5792777
604444.85,5792777.4
604444.83,5792777.5
604444.94,5792776.5
604444.97,5792776.8
604444.94,5792777.3
604444.92,5792777.4
604447.05,5792796.5
604447.26,5792796.6
604447.35,5792796.6
604447.42,5792796.4
604447.56,5792796.2
604447.84,5792795.2
604448.06,5792777.4
604448.25,5792777.4
604448.24,5792795.1
604448.38,5792777.4
604448.33,5792795
604448.45,5792777.4
604448.43,5792795.1
604448.55,5792795.4
604448.58,5792795.5
604448.67,5792795.6
604448.63,5792795.8
604448.76,5792795.7
604448.85,5792795.9
604448.95,5792796
604449.04,5792796.2
604449.15,5792796.4
604449.35,5792796.6
604452.93,5792820
604453.43,5792786.5
604453.64,5792802.4
604453.99,5792777.1
604455.95,5792777.3
604456.23,5792777.2
604456.35,5792777.2
604456.35,5792786.4
604456.36,5792786.5
604456.48,5792777.2
604456.45,5792777.2
604456.41,5792786.3
604456.41,5792786.4
604456.54,5792777.2
604456.64,5792777.2
604457.36,5792795.6
604457.47,5792795.4
604457.44,5792795.5
604457.53,5792795.4
604457.65,5792795.2
604457.67,5792795.5
604457.75,5792795
604457.85,5792794.9
604457.95,5792794.8
604458.08,5792786.2
604458.12,5792786.2
604458.16,5792786.3
604458.17,5792786.4
604458.22,5792786.4
604458.96,5792776
604458.95,5792776.1
604458.93,5792776.2
604458.93,5792776.4
604458.93,5792776.5
604458.94,5792776.6
604458.96,5792776.6
604458.94,5792776.8
604458.97,5792776.8
604458.97,5792776.9
604459.03,5792776.9
604459.05,5792777
604459.05,5792777.1
604459.15,5792777.2
604459.14,5792794.2
604459.26,5792777.2
604459.36,5792777.2
604459.36,5792789.1
604459.33,5792789.4
604459.37,5792789.9
604459.44,5792777.2
604459.55,5792777.2
604459.65,5792777.2
604459.65,5792793.8
604459.75,5792777.2
604459.86,5792777
604459.85,5792777.1
604459.97,5792777.1
604459.94,5792777.2
604460.03,5792777.2
604460.14,5792777.2
604460.25,5792777.2
604460.35,5792777.2
604460.45,5792777.2
604460.55,5792777.2
604460.64,5792777.2
604460.66,5792793.7
604460.75,5792777.2
604460.85,5792777.1
604460.84,5792793.7
604460.94,5792777.1
604461.06,5792777.1
604461.16,5792777.1
604461.25,5792777.1
604461.34,5792777.1
604461.35,5792793.7
604461.44,5792777.1
604461.45,5792793.7
604461.56,5792777.1
604461.66,5792777.1
604461.65,5792793.7
604461.74,5792793.7
604461.84,5792777.1
604461.86,5792793.7
604461.95,5792777.1
604461.95,5792793.7
604462.04,5792793.7
604462.14,5792777.1
604462.23,5792777.1
604462.27,5792793.7
604462.36,5792777.1
604462.36,5792793.7
604462.44,5792793.7
604462.65,5792793.7
604462.94,5792793.7
604463.67,5792776.4
604463.66,5792776.6
604463.63,5792776.9
604463.71,5792776.4
604463.77,5792776.5
604463.76,5792776.8
604463.82,5792776.9
604463.83,5792777
604463.94,5792777
604464.25,5792777.1
604464.55,5792777.1
604464.55,5792803.4
604464.94,5792777.1
604466.26,5792789.1
604466.23,5792789.1
604466.33,5792789.1
604466.35,5792789.2
604471.57,5792789
604471.65,5792788.9
604471.75,5792789
604471.77,5792789.1
604473.95,5792763.7
604473.97,5792764.1
604474.01,5792766.3
604474.03,5792766.7
604476.15,5792788.8
604476.18,5792788.9
604476.26,5792788.7
604476.25,5792788.9
604476.23,5792789
604476.31,5792789.4
604476.32,5792789.5
604479.94,5792790.5
604484.28,5792791.8
604484.26,5792792
604485.17,5792790.5
604485.25,5792790.3
604485.25,5792790.4
604485.34,5792790.7
604485.37,5792790.8
604485.37,5792791.2
604486.66,5792789.2
604486.65,5792789.3
604489.36,5792788.5
604489.41,5792788.4
604489.44,5792788.5
604489.45,5792788.8
604489.44,5792788.9
604489.47,5792789
604489.86,5792767.2
604490.34,5792776.4
604490.55,5792767.1
604491.86,5792767.2
604492.63,5792767.2
604492.96,5792788.4
604492.96,5792788.6
604493.03,5792788.5
604493.03,5792788.8
604493.74,5792776.4
604494.37,5792767.1
604494.44,5792767
604494.76,5792776.2
604494.85,5792775
604495.02,5792775.2
604495.07,5792775.3
604495.06,5792775.5
604495.02,5792775.9
604495.12,5792767.1
604495.65,5792767.2
604495.95,5792767.1
604496.33,5792767.1
604496.43,5792767.1
604497.16,5792788.2
604497.17,5792788.3
604497.13,5792788.3
604497.18,5792788.5
604497.17,5792788.7
604497.25,5792788.5
604497.24,5792788.6
604497.25,5792788.8
604497.25,5792788.8
604497.45,5792767.1
604497.53,5792774.2
604497.65,5792773.9
604497.69,5792774.1
604497.67,5792774.2
604497.73,5792774.1
604497.74,5792774.2
604498.04,5792767
604498.54,5792767.2
604499.15,5792767
604499.83,5792767
604500.02,5792766.9
604500.26,5792767
604500.77,5792788.2
604500.85,5792788.2
604500.85,5792788.2
604500.85,5792788.3
604500.88,5792788.4
604500.88,5792788.7
604500.85,5792793.3
604500.92,5792788.3
604500.92,5792788.4
604500.93,5792788.5
604500.93,5792788.7
604500.92,5792788.7
604500.93,5792788.8
604501.33,5792767
604501.55,5792793.3
604501.96,5792767
604501.95,5792793.3
604502.15,5792793.2
604503.25,5792793.2
604503.36,5792766.8
604503.35,5792793.3
604503.45,5792793.2
604503.46,5792793.4
604503.47,5792793.5
604503.46,5792793.6
604503.56,5792793.5
604503.55,5792793.6
604503.56,5792793.7
604503.55,5792793.8
604503.55,5792794.4
604503.68,5792793.5
604503.63,5792793.6
604503.66,5792793.8
604503.65,5792793.8
604503.65,5792793.9
604503.66,5792794.1
604503.64,5792794.1
604503.66,5792794.2
604503.73,5792794.1
604505.03,5792793.8
604505.06,5792793.8
604505.14,5792793.9
604505.13,5792793.9
604505.18,5792794.1
604505.24,5792794.1
604505.27,5792794.1
604505.36,5792788.1
604505.39,5792794.3
604505.46,5792788
604505.46,5792788.1
604505.44,5792794.3
604505.45,5792794.5
604505.45,5792794.5
604505.54,5792788.2
604505.56,5792788.3
604505.54,5792788.4
604505.54,5792788.4
604505.56,5792794.6
604505.67,5792794.6
604505.65,5792794.7
604505.66,5792794.8
604505.76,5792794.8
604505.82,5792795
604505.91,5792795.1
604505.94,5792795.3
604506.07,5792795.3
604506.13,5792795.3
604508.27,5792784.6
604508.27,5792784.9
604508.24,5792793
604508.35,5792784.6
604508.35,5792784.7
604508.35,5792784.7
604508.34,5792784.9
604508.34,5792784.9
604508.37,5792785.1
604508.45,5792793
604508.56,5792792.9
604508.65,5792792.9
604508.74,5792792.9
604508.85,5792792.9
604508.94,5792792.9
604508.95,5792792.9
604509.04,5792792.8
604509.05,5792792.9
604509.14,5792792.9
604509.16,5792792.9
604509.25,5792792.8
604509.25,5792793
604509.35,5792792.8
604509.36,5792792.9
604509.44,5792792.9
604509.57,5792786
604509.55,5792792.9
604509.66,5792785.9
604509.64,5792792.9
604509.64,5792792.9
604509.75,5792785.9
604509.77,5792787.7
604509.77,5792787.8
604509.77,5792787.8
604509.73,5792788
604509.75,5792792.8
604509.85,5792785.9
604509.85,5792787.7
604509.85,5792787.8
604509.85,5792787.9
604509.84,5792788.2
604509.84,5792792.9
604509.85,5792792.9
604509.95,5792792.9
604510.05,5792792.8
604510.06,5792792.9
604510.14,5792792.8
604510.14,5792792.8
604510.15,5792800.5
604510.25,5792792.9
604510.35,5792792.9
604510.34,5792792.9
604510.37,5792800.5
604510.43,5792792.8
604510.47,5792792.8
604510.54,5792792.9
604510.66,5792792.8
604510.76,5792792.8
604510.85,5792792.8
604510.85,5792792.8
604510.86,5792792.9
604510.95,5792792.8
604511.04,5792792.8
604511.06,5792792.9
604511.16,5792792.9
604511.16,5792793.1
604511.16,5792793.2
604511.23,5792792.9
604511.24,5792793
604511.25,5792793.1
604511.23,5792793.3
604511.25,5792793.5
604511.32,5792792.9
604511.34,5792793.1
604511.33,5792793.1
604511.34,5792793.2
604511.36,5792793.4
604511.35,5792793.4
604511.35,5792793.5
604511.35,5792793.7
604511.35,5792793.8
604511.35,5792793.9
604511.34,5792794.1
604511.34,5792800.7
604511.43,5792793.6
604511.55,5792800.7
604511.54,5792800.7
604513.05,5792801.1
604513.16,5792801
604513.25,5792801
604513.27,5792801.1
604513.65,5792801.1
604514.94,5792801.1
604515.07,5792794.9
604515.14,5792794.7
604515.16,5792801
604515.27,5792800.9
604515.34,5792800.9
604515.46,5792801
604515.66,5792766.9
604515.61,5792800.9
604515.65,5792804.6
604515.79,5792766.8
604516.76,5792800.8
604516.76,5792801
604516.84,5792800.8
604516.98,5792800.9
604517.04,5792800.8
604517.16,5792800.9
604519.16,5792776.1
604519.37,5792776.1
604519.39,5792784
604519.45,5792776.1
604519.48,5792783.8
604519.46,5792784
604519.47,5792784
604519.45,5792784.2
604519.44,5792785.3
604519.57,5792766.5
604519.56,5792776.1
604519.53,5792783.9
604519.55,5792783.9
604519.55,5792784.1
604519.55,5792784.1
604519.53,5792784.2
604519.55,5792785.4
604519.66,5792776.1
604519.65,5792785.4
604519.74,5792766.4
604519.75,5792776.1
604519.76,5792785.3
604519.76,5792785.5
604519.85,5792776.1
604519.86,5792785.4
604519.94,5792776.1
604519.94,5792785.4
604520.05,5792776.1
604520.14,5792776
604520.24,5792776.1
604520.36,5792776.1
604520.44,5792776
604520.55,5792776
604520.55,5792785.5
604520.64,5792776
604520.65,5792785.5
604520.75,5792776
604520.75,5792776
604520.76,5792785.5
604520.85,5792776
604520.88,5792783.9
604520.84,5792785.5
604520.86,5792785.6
604520.94,5792776
604520.93,5792783.9
604520.94,5792784
604520.94,5792784
604520.97,5792784.1
604520.94,5792785.6
604521.06,5792776
604521.07,5792783.9
604521.06,5792784.1
604521.05,5792784.1
604521.05,5792784.3
604521.04,5792785.6
604521.15,5792783.9
604521.12,5792783.9
604521.14,5792784
604521.23,5792775.9
604521.45,5792775.8
604523.36,5792800.6
604523.95,5792800.8
604524.07,5792774.4
604524.03,5792775.3
604524.05,5792775.5
604524.23,5792775.9
604524.36,5792775.9
604524.44,5792766.8
604524.45,5792775.9
604524.56,5792776
604524.68,5792775.9
604524.66,5792794.4
604524.67,5792794.5
604524.68,5792800.7
604524.72,5792794.4
604524.84,5792775.9
604524.85,5792794.4
604524.84,5792800.7
604524.96,5792775.9
604525.05,5792775.9
604525.03,5792800.7
604525.15,5792775.9
604525.25,5792775.9
604525.34,5792775.9
604525.47,5792766.8
604525.44,5792775.9
604525.55,5792775.9
604525.65,5792775.9
604525.74,5792775.9
604525.87,5792775.9
604526.05,5792775.9
604526.14,5792775.9
604526.24,5792775.9
604526.34,5792775.9
604526.45,5792775.9
604526.67,5792775.9
604527.35,5792766.6
604527.78,5792793
604527.97,5792792.6
604527.91,5792800.8
604528.08,5792775.8
604528.06,5792792.5
604528.06,5792792.5
604528.17,5792774.3
604528.16,5792775.7
604528.14,5792775.8
604528.14,5792792.5
604528.27,5792775.6
604528.26,5792775.6
604528.24,5792775.7
604528.25,5792792.4
604528.32,5792774.5
604528.34,5792774.7
604528.33,5792774.8
604528.37,5792775.1
604528.34,5792775.3
604528.36,5792775.4
604528.33,5792775.5
604528.32,5792775.6
604528.36,5792792.4
604528.43,5792774.8
604528.42,5792775
604528.43,5792775.1
604528.43,5792775.2
604528.44,5792775.3
604528.47,5792792.4
604528.55,5792792.4
604528.64,5792792.4
604528.76,5792792.4
604528.85,5792792.4
604528.87,5792792.4
604528.98,5792792.4
604528.97,5792792.4
604529.05,5792792.4
604529.15,5792792.4
604529.25,5792792.4
604529.37,5792766.8
604529.36,5792792.4
604529.44,5792792.4
604529.56,5792792.4
604529.66,5792792.4
604529.75,5792792.4
604529.86,5792792.3
604529.94,5792786.2
604529.96,5792792.3
604530.04,5792792.3
604530.15,5792786.4
604530.15,5792792.3
604530.24,5792786.4
604530.26,5792786.4
604530.25,5792792.3
604530.35,5792786.4
604530.36,5792786.5
604530.35,5792792.3
604530.44,5792792.3
604530.45,5792792.4
604530.45,5792800.5
604530.44,5792800.6
604530.55,5792792.3
604530.55,5792800.5
604530.65,5792792.3
604530.64,5792800.4
604530.76,5792787.5
604530.75,5792792.3
604530.75,5792792.5
604530.78,5792800.4
604530.86,5792773.5
604530.86,5792792.3
604530.84,5792800.6
604530.95,5792773.5
604530.94,5792792.3
604531.05,5792773.4
604531.03,5792773.4
604531.05,5792792.3
604531.06,5792800.6
604531.06,5792800.7
604531.13,5792787.6
604531.15,5792792.3
604531.14,5792792.4
604531.25,5792792.3
604531.23,5792792.4
604531.28,5792800.6
604531.26,5792800.7
604531.34,5792787.7
604531.37,5792792.3
604531.35,5792792.4
604531.44,5792792.3
604531.46,5792792.6
604531.48,5792800.6
604531.44,5792800.8
604531.54,5792792.3
604531.53,5792800.8
604531.65,5792792.4
604531.66,5792800.6
604531.64,5792800.8
604531.77,5792792.4
604531.76,5792794.7
604531.83,5792792.5
604531.84,5792794.9
604531.87,5792800.5
604531.82,5792800.8
604531.9,5792800.6
604531.92,5792800.8
604532.05,5792784.2
604532.05,5792784.2
604532.07,5792787.6
604532.05,5792792.5
604532.06,5792792.5
604532.06,5792800.7
604532.04,5792800.7
604532.15,5792784.2
604532.16,5792784.4
604532.16,5792784.4
604532.13,5792787.6
604532.12,5792787.6
604532.13,5792800.6
604532.25,5792784.3
604532.25,5792784.3
604532.25,5792784.4
604532.28,5792784.5
604532.27,5792792.9
604532.24,5792800.7
604532.33,5792784.4
604532.33,5792784.4
604532.35,5792784.5
604532.32,5792800.5
604532.36,5792800.7
604532.47,5792786.1
604532.46,5792786.3
604532.46,5792786.5
604532.45,5792786.7
604532.45,5792800.6
604532.44,5792800.7
604532.54,5792784.9
604532.53,5792785.1
604532.57,5792785.3
604532.57,5792785.3
604532.56,5792785.5
604532.56,5792785.5
604532.57,5792785.7
604532.54,5792785.7
604532.54,5792785.8
604532.56,5792785.9
604532.53,5792786.1
604532.56,5792786.1
604532.54,5792786.3
604532.55,5792786.3
604532.54,5792786.5
604532.54,5792786.7
604532.56,5792800.7
604532.65,5792784.7
604532.65,5792784.7
604532.66,5792784.9
604532.65,5792784.9
604532.63,5792785.1
604532.64,5792785.1
604532.63,5792785.3
604532.63,5792785.3
604532.62,5792785.5
604532.63,5792785.6
604532.63,5792785.8
604532.64,5792785.9
604532.62,5792800.7
604532.73,5792785
604532.74,5792785.4
604532.76,5792785.5
604532.77,5792785.6
604532.77,5792785.6
604532.78,5792785.7
604532.77,5792785.8
604532.77,5792786
604532.77,5792786.1
604532.77,5792786.2
604532.76,5792786.3
604532.77,5792786.4
604532.77,5792786.4
604532.76,5792786.6
604532.76,5792786.6
604532.74,5792786.7
604532.74,5792786.9
604532.77,5792787
604532.74,5792800.7
604532.83,5792784.7
604532.85,5792784.8
604532.86,5792784.8
604532.85,5792785
604532.85,5792785.1
604532.85,5792785.4
604532.84,5792785.5
604532.85,5792785.6
604532.82,5792785.6
604532.84,5792785.7
604532.82,5792785.9
604532.81,5792786
604532.83,5792786
604532.81,5792786.2
604532.84,5792786.9
604532.97,5792787
604533.06,5792787
604533.04,5792787
604533.04,5792787.2
604533.16,5792787.1
604533.13,5792787.2
604533.24,5792787.1
604533.25,5792787.1
604533.37,5792787.1
604533.43,5792787.2
604533.56,5792787.2
604533.56,5792787.2
604533.56,5792799.1
604533.56,5792812.9
604533.64,5792787.3
604533.67,5792787.3
604533.76,5792787.3
604533.76,5792787.3
604533.85,5792787.4
604533.85,5792799.1
604533.95,5792787.4
604533.97,5792799.1
604534.06,5792787.4
604534.18,5792766.6
604534.15,5792787.5
604534.24,5792799.1
604534.32,5792766.6
604534.35,5792787.6
604534.45,5792766.6
604534.47,5792787.7
604534.59,5792766.6
604534.56,5792787.7
604534.67,5792787.8
604534.73,5792766.6
604534.76,5792787.7
604534.86,5792766.6
604534.88,5792799
604535.13,5792799
604535.24,5792799.1
604535.36,5792783.7
604535.36,5792783.8
604535.36,5792783.9
604535.35,5792799
604535.45,5792783.7
604535.46,5792783.8
604535.47,5792799
604535.46,5792800.5
604535.57,5792783.8
604535.56,5792783.9
604535.56,5792783.9
604535.56,5792784
604535.63,5792783.8
604535.64,5792783.9
604535.64,5792783.9
604535.63,5792784
604535.64,5792800.5
604535.76,5792799
604535.82,5792800.5
604535.97,5792787.6
604535.94,5792787.7
604535.94,5792787.8
604535.95,5792787.8
604535.94,5792787.9
604536.04,5792799
604536.14,5792799
604536.25,5792799.1
604538.06,5792783.7
604538.05,5792783.8
604538.07,5792783.9
604538.01,5792794.3
604538.16,5792783.8
