x,y
73.90916,75.42233
73.83067,76.63508
73.80671,75.50853
73.79426,75.43958
73.7114,75.41606
73.70264,75.37396
73.61942,73.04353
73.63132,72.93288
73.63554,72.83416
73.63422,72.73573
73.63384,72.64174
73.62896,72.53941
73.60843,72.45234
73.60229,72.34353
73.60107,72.23738
73.59952,72.134
73.59972,72.03719
73.6014,71.94565
73.59495,71.84882
73.59405,71.74261
73.59288,71.63782
73.59216,71.53732
73.58717,71.44791
73.5868,71.3418
73.585,71.23402
73.58665,71.13815
73.58524,71.04457
73.58164,70.94403
73.57902,70.84722
73.58155,70.74034
73.58056,70.63979
73.57767,70.5443
73.57784,70.43748
73.57027,70.34298
73.57363,70.23746
73.56722,70.14378
73.56714,70.03677
73.56767,69.93364
73.56027,69.8447
73.56584,69.7384
73.55366,69.63805
73.55528,69.54096
73.55417,69.44534
73.55319,69.34214
73.55053,69.23635
73.55078,69.1392
73.54393,69.04145
73.54581,68.94003
73.54464,68.84381
73.54161,68.74268
73.54227,68.64497
73.53748,68.54591
73.53447,68.43797
73.53639,68.34206
73.52996,68.24357
73.53201,68.14338
73.53438,68.04528
73.53168,67.9447
73.52614,67.84473
73.53077,67.73973
73.52694,67.639
73.52383,67.5387
73.5211,67.43924
73.52202,67.34441
73.5192,67.24345
73.51863,67.14456
73.51741,67.04327
73.5148,66.94746
73.51377,66.83637
73.51743,66.7409
73.51061,66.64078
73.51268,66.53625
73.51384,66.44616
73.50839,66.34577
73.50549,66.24209
73.50124,66.1403
73.50648,66.03701
73.50416,65.94254
73.49993,65.84788
73.50253,65.74287
73.49842,65.64162
73.49457,65.54124
73.50022,65.43407
73.49616,65.23983
73.49319,65.13528
73.49256,65.05302
73.49225,64.94773
73.4857,64.83861
73.47732,64.74211
73.481,64.54401
73.47355,64.34433
73.85487,86.133
73.85754,86.03491
73.85284,85.93216
73.84972,85.82928
73.85295,85.72781
73.85584,85.63597
73.85303,85.54563
73.84822,85.4435
73.85222,85.34092
73.64483,78.43559
73.64416,78.2352
73.64245,77.94389
73.63584,77.84475
73.63163,77.73908
73.63118,77.54885
73.63901,77.4396
73.62537,77.34499
73.63205,77.23669
73.63278,76.84403
73.63012,76.73822
73.62352,76.647
73.61936,76.44308
73.61768,75.41606
73.60157,75.34833
73.60047,75.24287
73.5976,75.14298
73.59161,75.04225
73.59278,74.94015
73.58976,74.84001
73.59138,74.73866
73.58764,74.64111
73.58749,74.54223
73.58345,74.44563
73.58537,74.34364
73.58151,74.2443
73.58229,74.14231
73.58293,74.03851
73.58034,73.93857
73.58148,73.83723
73.57858,73.73843
73.57458,73.64234
73.57336,73.54373
73.57083,73.44148
73.57159,73.34199
73.56813,73.24187
73.56633,73.14182
73.56989,72.52766
73.55272,72.44118
73.54836,72.34105
73.54963,72.24577
73.5539,72.14346
73.54739,72.04882
73.54552,71.94112
73.53854,71.84496
73.5405,71.74574
73.54196,71.64785
73.53945,71.54443
73.53582,71.43787
73.53219,71.34242
73.53548,71.23646
73.52997,71.1401
73.52945,71.03702
73.52858,70.94141
73.52676,70.83507
73.52554,70.74255
73.52468,70.63889
73.52335,70.53865
73.52277,70.44727
73.51888,70.34216
73.5173,70.23478
73.51512,70.04263
73.51309,69.94933
73.65964,82.14454
73.65665,81.94298
73.65466,81.84303
73.65148,81.74635
73.65166,81.64347
73.64982,81.5427
73.62582,79.84566
73.62717,79.64352
73.62857,79.44609
73.62505,79.3408
73.62097,79.14455
73.7938,93.24137
73.78693,93.14565
73.784,93.04726
73.78595,92.94574
73.78437,92.83995
73.77808,92.7403
73.67403,88.44568
73.67336,88.34122
73.66821,88.24307
73.6679,88.14388
73.66958,88.04394
73.66656,87.94341
73.66537,87.84165
73.66438,87.7432
73.6674,87.64391
73.66203,87.54293
73.66431,87.44406
73.66361,87.34185
73.66333,87.24301
73.65976,87.1433
73.65739,87.06342
73.64488,86.63305
73.64999,86.54239
73.65223,86.44637
73.65078,86.34898
73.64503,85.24281
73.64307,85.13998
73.63578,85.0396
73.63734,84.94061
73.63427,84.84589
73.63267,84.74251
73.62936,84.64043
73.63448,84.54477
73.63506,84.44717
73.63349,84.34344
73.63586,84.14591
73.75919,95.43359
73.7521,95.34042
73.75797,95.24159
73.74982,95.14347
73.75217,95.04578
73.74595,94.94631
73.74445,94.84285
73.73763,94.74213
73.73389,94.64565
73.7347,94.54485
73.73372,94.44252
73.72876,94.34184
73.7299,94.24159
73.73458,94.14342
73.73325,94.04489
73.73215,93.94236
73.72863,93.84341
73.72754,93.74388
73.72539,93.64044
73.71896,93.54232
73.72205,93.44489
73.71848,93.34434
73.71834,93.24304
73.71679,93.14265
73.71351,93.04266
73.71389,92.94714
73.71388,92.84433
73.7131,92.74118
73.71635,92.65521
73.72149,92.54458
73.71957,92.44691
73.71736,92.34337
73.71745,92.24353
73.71439,92.1485
73.70208,92.04092
73.65311,90.84696
73.64838,90.74193
73.64792,90.64594
73.64936,90.54277
73.64952,90.443
73.64426,90.34483
73.64338,90.24761
73.63625,90.14427
73.63657,90.04558
73.63596,89.94477
73.63847,89.84694
73.64152,89.7474
73.64339,89.64781
73.64428,89.54445
73.6481,89.44423
73.64399,89.34476
73.64928,89.24683
73.64603,89.14951
73.64616,89.04775
73.64385,88.9446
73.6469,88.84454
73.64357,88.74316
