x,y
-41.02,102.5
26.036,83.63627
26.3408,83.46693
28.55907,83.46693
29.4396,84.90627
30.42173,82.55254
30.42173,82.16306
30.42173,82.7388
30.42173,85.1772
30.42173,84.90627
30.42173,84.75387
30.42173,86.1932
30.42173,85.82066
30.42173,85.46507
30.42173,85.1264
30.42173,84.8216
30.42173,86.1424
30.69267,88.76707
30.77733,83.46693
30.9128,83.46693
31.0144,86.53187
31.20067,83.46693
31.2684,86.53187
31.30227,86.53187
31.3192,83.38226
31.3192,83.26373
31.3192,86.98907
31.3192,87.03986
32.4876,83.46693
32.57227,83.46693
32.67387,83.46693
32.70773,83.46693
32.82627,83.46693
32.91093,83.46693
32.97867,83.46693
33.02947,83.46693
33.0972,83.46693
33.16493,83.46693
33.3512,83.6532
33.38507,83.6532
33.402,83.6532
33.41893,84.75387
33.4528,84.75387
33.46973,84.75387
33.5036,83.6532
33.52053,83.6532
33.57133,83.6532
33.58827,84.75387
33.62214,83.6532
33.63906,84.75387
33.67293,83.6532
33.68987,83.6532
33.72373,83.6532
33.74067,84.75387
33.7576,84.75387
33.77453,84.94013
33.77453,84.90627
33.77453,84.8724
33.77453,84.83853
33.77453,84.80466
33.77453,84.7708
33.77453,83.43307
33.77453,82.97587
33.77453,82.16306
33.77453,80.28347
33.77453,86.68427
33.77453,86.31174
33.77453,86.07467
33.77453,85.8884
33.77453,85.75293
33.77453,85.6344
33.77453,85.54974
33.77453,85.482
33.77453,85.41427
33.77453,85.34653
33.77453,85.29573
33.77453,85.24493
33.77453,85.21107
33.77453,85.16026
33.77453,85.1264
33.77453,85.09254
33.77453,85.05867
33.77453,85.0248
33.77453,84.99094
33.77453,84.974
33.77453,83.46693
33.77453,82.8404
33.77453,81.6212
33.77453,77.9636
33.77453,86.51493
33.77453,86.2948
33.77453,86.12547
33.77453,85.95613
33.77453,85.85453
33.77453,85.736
33.77453,85.65134
33.77453,85.56667
33.77453,85.46507
33.77453,85.39733
33.77453,85.31267
33.77453,83.5008
33.77453,83.33147
33.77453,83.0944
33.77453,82.75573
33.77453,82.2308
33.77453,81.29947
33.77453,79.16586
33.77453,86.4472
33.77453,85.87147
33.77453,83.61933
33.77453,83.5516
33.77453,83.45
33.77453,83.36533
33.77453,83.28067
33.77453,83.17907
33.77453,83.06053
33.77453,82.92506
33.77453,82.82346
33.77453,82.62027
33.77453,82.434
33.77453,82.21387
33.77453,81.926
33.77453,81.50267
33.77453,80.8592
33.77453,79.70773
33.77453,77.03226
33.77453,85.80373
33.77453,83.11134
33.77453,83.00974
33.77453,82.8912
33.77453,82.77267
33.77453,82.70493
33.77453,82.5864
33.77453,82.46786
33.77453,82.36626
33.77453,82.24773
33.77453,82.1292
33.77453,81.95987
33.77453,81.7736
33.77453,81.5196
33.77453,81.19787
33.77453,80.72373
33.77453,79.45374
33.77453,75.71146
33.77453,85.5328
33.77453,83.38226
33.77453,83.16213
33.77453,82.45094
33.77453,82.29853
33.77453,82.09534
33.77453,82.0276
33.77453,81.94293
33.77453,81.85827
33.77453,81.70586
33.77453,81.53653
33.77453,81.40107
33.77453,81.2148
33.77453,81.0116
33.77453,80.74067
33.77453,80.148
33.77453,79.52147
33.77453,78.48853
33.77453,76.45654
33.77453,83.26373
33.77453,81.8244
33.77453,81.63813
33.77453,81.48573
33.77453,81.33334
33.77453,81.24866
33.77453,81.09627
33.77453,80.91
33.77453,80.7068
33.77453,80.52053
33.77453,80.31734
33.77453,80.0464
33.77453,79.4876
33.77453,78.91187
33.77453,78.03133
33.77453,75.08493
33.77453,82.40013
33.77453,81.9768
33.77453,81.18093
33.77453,80.99467
33.77453,80.92693
33.77453,80.79147
33.77453,80.63907
33.77453,80.4528
33.77453,80.16493
33.77453,79.96173
33.77453,79.72467
33.77453,79.41987
33.77453,78.99654
33.77453,78.4208
33.77453,76.846
33.77453,74.52613
33.77453,83.07747
33.77453,82.11227
33.77453,81.7228
33.77453,81.58733
33.77453,80.5544
33.77453,80.48666
33.77453,80.33427
33.77453,80.26653
33.77453,80.11414
33.77453,80.02946
33.77453,79.7924
33.77453,79.67387
33.77453,79.5384
33.77453,79.40293
33.77453,79.11507
33.77453,78.7256
33.77453,78.37
33.77453,77.89587
33.77453,76.67667
33.77453,75.068
33.77453,71.3596
33.77453,83.53467
33.77453,81.79053
33.77453,81.2656
33.77453,81.02853
33.77453,80.656
33.77453,79.80933
33.77453,79.64
33.77453,79.386
33.77453,79.30133
33.77453,79.06427
33.77453,78.94573
33.77453,78.6748
33.77453,78.38693
33.77453,77.99747
33.77453,77.64187
33.77453,77.16773
33.77453,75.2712
33.77453,72.95133
33.77453,86.7012
33.77453,80.43587
33.77453,80.18187
33.77453,79.97867
33.77453,79.86013
33.77453,79.132
33.77453,78.96267
33.77453,78.89494
33.77453,78.8272
33.77453,78.624
33.77453,78.43774
33.77453,78.20067
33.77453,78.0652
33.77453,77.8112
33.77453,77.59106
33.77453,77.32014
33.77453,76.7444
33.77453,75.7792
33.77453,73.66254
33.77453,69.95413
33.77453,80.82533
33.77453,79.91093
33.77453,79.5892
33.77453,79.4368
33.77453,79.3352
33.77453,79.1828
33.77453,72.6296
33.77453,72.49413
33.77453,72.35867
33.77453,72.13853
33.77453,71.98613
33.77453,71.83373
33.77453,71.6644
33.77453,71.47813
33.77453,71.29187
33.77453,71.07173
33.77453,70.83466
33.77453,70.56374
33.77453,70.25893
33.77453,69.8864
33.77453,69.44614
33.77453,68.88734
33.77453,68.14227
33.77453,67.1432
33.77453,80.67294
33.77453,77.1508
33.77453,76.11787
33.77453,75.60986
33.77453,75.2204
33.77453,74.88174
33.77453,74.57693
33.77453,74.22134
33.77453,74.0012
33.77453,73.81493
33.77453,73.544
33.77453,73.37466
33.77453,73.22227
33.77453,73.0868
33.77453,72.9344
33.77453,72.79893
33.77453,72.08773
33.77453,71.93533
33.77453,71.79987
33.77453,71.64747
33.77453,71.42733
33.77453,71.258
33.77453,71.08867
33.77453,70.9024
33.77453,70.5976
33.77453,70.37746
33.77453,70.12347
33.77453,69.81866
33.77453,69.48
33.77453,69.0736
33.77453,68.5656
33.77453,67.9052
33.77453,67.0416
33.77453,65.8224
33.77453,77.13387
33.77453,76.27026
33.77453,75.10187
33.77453,74.69547
33.77453,74.2044
33.77453,73.93346
33.77453,73.57787
33.77453,73.27306
33.77453,72.91747
33.77453,72.74813
33.77453,72.59573
33.77453,72.46027
33.77453,72.30787
33.77453,72.1724
33.77453,71.32574
33.77453,71.03786
33.77453,70.75
33.77453,70.58067
33.77453,70.22507
33.77453,70.0388
33.77453,69.70013
33.77453,69.29373
33.77453,68.972
33.77453,68.59946
33.77453,67.88827
33.77453,67.22787
33.77453,66.36427
33.77453,76.9984
33.77453,75.59293
33.77453,74.93253
33.77453,74.01814
33.77453,73.52707
33.77453,73.12067
33.77453,72.782
33.77453,72.3248
33.77453,71.85067
33.77453,71.69827
33.77453,71.5628
33.77453,70.6484
33.77453,70.4452
33.77453,70.2928
33.77453,69.90334
33.77453,69.54774
33.77453,69.36147
33.77453,69.0228
33.77453,68.6164
33.77453,68.29467
33.77453,67.92213
33.77453,67.46494
33.77453,66.90614
33.77453,66.16106
33.77453,77.82813
33.77453,75.30507
33.77453,74.56
33.77453,73.7472
33.77453,72.84973
33.77453,72.5788
33.77453,72.2232
33.77453,71.8168
33.77453,71.24107
33.77453,71.02094
33.77453,73.036
33.77453,72.8836
33.77453,72.51107
33.77453,72.02
33.77453,71.27493
33.77453,70.86853
33.77453,70.15733
33.77453,69.41227
33.77453,68.75187
33.77453,67.87133
33.77453,66.61826
33.77453,78.75947
33.77453,76.37186
33.77453,75.5252
33.77453,75.05106
33.77453,74.44147
