x,y
93.95395,64.3931
93.84622,64.56297
93.86758,64.46146
93.77715,71.28248
93.7919,71.16628
93.78711,70.96639
93.77581,70.87364
93.79061,70.46709
93.79588,69.9696
93.78071,69.67191
93.78374,69.56555
93.78334,69.47112
93.77372,69.36935
93.78339,69.26948
93.77789,69.17067
93.78575,69.07091
93.77258,68.97378
93.77161,68.87138
93.77066,68.76783
93.77088,68.66593
93.77499,68.46821
93.77261,68.37332
93.75966,68.2766
93.76408,68.1685
93.76772,68.07494
93.7665,67.96777
93.75751,67.8716
93.75591,67.77476
93.769,67.66793
93.76173,67.57563
93.75674,67.47765
93.75371,67.36886
93.77049,67.27435
93.7526,67.16619
93.75796,67.07827
93.76398,66.87165
93.75366,66.66568
93.75905,66.46653
93.75775,66.26685
93.7667,66.1798
93.75542,66.06446
93.76484,65.8664
93.75642,65.75975
93.74912,65.67797
93.75709,65.5652
93.7636,65.48397
93.75467,65.372
93.75446,65.26635
93.7683,65.18135
93.75863,65.06472
93.76002,64.8709
93.75043,64.7634
93.75695,64.67538
93.76894,64.56503
93.77204,64.47252
93.74365,63.27164
93.74464,63.17304
93.7421,63.06633
93.74537,62.97064
93.74154,62.86625
93.74365,62.76928
93.74752,62.67477
93.74805,62.57529
93.74083,62.4789
93.74519,62.36525
93.74924,62.28117
93.74056,62.16865
93.73894,62.06585
93.73917,61.96913
93.74216,61.86437
93.74133,61.77212
93.74223,61.66893
93.73869,61.56874
93.73561,61.47766
93.7363,61.37637
93.73759,61.27077
93.73444,61.17014
93.73677,61.07123
93.73621,60.96559
93.73473,60.87241
93.73453,60.77109
93.73402,60.66945
93.73371,60.56287
93.7386,60.46579
93.73069,60.37802
93.73607,60.27409
93.73337,60.16826
93.73785,60.07473
93.73579,59.97351
93.73447,59.87215
93.73562,59.77011
93.73478,59.66684
93.73428,59.56871
93.73611,59.4715
93.73769,59.3718
93.73541,59.2668
93.7349,59.16919
93.73404,59.07013
93.7293,58.98099
93.7356,58.86765
93.73236,58.77406
93.73351,58.67099
93.73229,58.5736
93.73248,58.47005
93.73308,58.3706
93.73172,58.27034
93.72933,58.17313
93.72773,58.07251
93.72842,57.96625
93.72959,57.87054
93.72771,57.77394
93.72242,57.67003
93.72885,57.56629
93.72477,57.47174
93.72467,57.36886
93.72636,57.27114
93.72861,57.16837
93.72565,57.0735
93.72592,56.96974
93.72402,56.87599
93.72134,56.76941
93.72475,56.67333
93.71696,56.5679
93.7212,56.46281
93.71706,56.36913
93.71954,56.27037
93.71824,56.17241
93.71849,56.07231
93.71734,55.96957
93.71685,55.87011
93.71735,55.76983
93.71796,55.66887
93.72025,55.56456
93.71828,55.47477
93.71389,55.36596
93.71844,55.26874
93.71763,55.17063
93.71314,55.07543
93.71842,54.97274
93.71584,54.87267
93.71146,54.7682
93.71197,54.66242
93.71666,54.56612
93.71322,54.47501
93.7094,54.36782
93.71481,53.56747
93.7171,53.37126
93.71288,53.27505
93.71148,53.17397
93.71146,53.07424
93.71568,52.97477
93.70924,52.66743
93.70786,52.57044
93.71066,52.47639
93.7081,52.36938
93.7126,52.27199
93.70518,52.16804
93.71001,52.06789
93.7101,51.9679
93.71292,51.87243
93.71165,51.77002
93.71249,51.67408
93.71234,51.56889
93.70623,51.47226
93.71009,51.36812
93.70764,51.26785
93.70708,51.16449
93.70675,51.07063
93.70627,50.97336
93.7058,50.87481
93.70533,50.7695
93.70582,50.66186
93.70436,50.56249
93.70495,50.47369
93.70602,50.36892
93.70424,50.26797
93.70565,50.16507
93.70419,50.06604
93.70309,49.96967
93.70319,49.86724
93.70348,49.77078
93.70444,49.66941
93.70201,49.56645
93.70251,49.47116
93.70431,49.36945
93.70706,49.27171
93.70375,49.17255
93.70774,49.0741
93.70356,48.96624
93.70197,48.86889
93.70293,48.77623
93.69948,48.68323
93.69819,48.56874
93.69772,48.48227
93.69173,45.65793
93.69822,45.56558
93.70294,45.47209
93.69217,45.37583
93.68931,45.26093
93.69244,45.16911
93.69063,45.07421
93.68777,44.97183
93.69332,44.86858
93.69099,44.76266
93.68716,44.6738
