x,y
-41.02,102.5
30.23547,84.43214
30.23547,84.04266
30.23547,84.65227
30.23547,84.2628
30.23547,84.3136
30.23547,83.92413
30.23547,84.33054
30.23547,84.39827
30.23547,83.99187
30.23547,84.29667
30.23547,84.5168
30.23547,84.6692
30.23547,84.27973
30.23547,84.1612
30.42173,84.99094
30.42173,83.63627
30.42173,86.12547
30.42173,85.75293
30.42173,85.3804
30.42173,85.00787
30.42173,85.24493
30.42173,84.8724
30.42173,85.99
30.42173,85.61747
30.42173,86.10854
30.42173,85.70213
30.42173,85.29573
30.42173,84.90627
30.42173,86.26093
30.42173,85.82066
30.42173,85.39733
30.42173,86.21014
30.42173,85.736
30.42173,85.0756
30.42173,83.61933
30.42173,85.8884
30.42173,85.16026
30.42173,86.41333
30.42173,85.46507
30.42173,84.974
30.42173,85.1772
30.42173,85.04173
30.42173,85.14333
30.52333,86.53187
30.608,83.48386
30.6588,86.53187
30.77733,83.48386
30.8112,83.48386
30.862,83.48386
30.9128,86.53187
30.94667,83.48386
31.04827,83.48386
31.09907,86.53187
31.116,86.53187
31.1668,86.53187
31.23453,83.48386
31.28533,86.53187
31.3192,83.46693
31.3192,83.45
31.33613,86.53187
31.43773,86.53187
31.5224,83.21294
31.53933,86.53187
31.55627,86.53187
31.60707,86.53187
31.70867,86.53187
31.74253,86.53187
31.79333,86.53187
31.84413,86.53187
31.86107,86.53187
31.878,83.22987
31.89493,86.53187
31.94573,83.21294
31.96267,86.53187
31.99653,83.21294
32.0304,86.53187
32.19973,86.53187
32.2336,86.53187
32.30133,86.53187
32.31827,86.53187
32.41987,86.53187
32.47066,86.53187
32.50453,83.48386
32.50453,86.53187
32.57227,83.48386
32.5892,86.53187
32.60613,83.48386
32.65693,86.53187
32.67387,86.53187
32.72467,83.48386
32.7416,86.53187
32.75853,83.48386
32.77547,83.48386
32.80933,83.48386
32.82627,83.48386
32.894,83.48386
32.92787,86.53187
32.9448,86.53187
32.96173,86.53187
32.9956,83.48386
33.01254,83.48386
33.02947,86.53187
33.0464,86.53187
33.11413,83.48386
33.13107,86.53187
33.18187,83.48386
