x,y
66.82136,32.21137
66.75916,32.19905
66.847,32.28803
66.64565,32.27525
66.92897,32.39634
66.53388,32.35558
66.44264,32.37962
67.00058,32.50323
66.94987,32.48024
66.3284,32.46261
67.03336,32.59151
66.21882,32.54606
66.12967,32.56765
67.1012,32.69876
66.01567,32.64568
67.1378,32.78985
65.90623,32.73264
65.81625,32.74864
67.21285,32.90506
65.71179,32.82135
67.28551,33.01038
65.5999,32.91095
65.51649,32.9305
67.32063,33.0908
65.39555,33.00929
67.39993,33.21759
65.28822,33.09725
65.19677,33.11633
67.47681,33.32319
65.08389,33.19739
64.99676,33.21586
67.50285,33.40783
64.97769,33.27755
64.88808,33.29898
67.57529,33.51907
64.77879,33.37782
64.69654,33.39833
67.65554,33.63602
64.66699,33.46272
64.58522,33.48547
67.68027,33.72092
64.47501,33.56192
64.3801,33.57355
67.75797,33.83628
64.36147,33.64268
64.27625,33.66485
67.84301,33.95003
67.76785,33.92101
67.86263,34.0384
67.94917,34.15004
67.86234,34.12562
68.0174,34.25422
67.96067,34.23653
68.03808,34.34275
68.11703,34.45202
68.04234,34.44166
68.21477,34.56756
68.13865,34.54247
63.81624,34.33164
63.74033,34.34719
68.22566,34.65199
63.70619,34.4183
63.62571,34.43418
63.52343,34.44155
68.30987,34.76613
68.22653,34.74788
63.51955,34.51154
63.43477,34.52235
68.39701,34.87771
68.32439,34.85159
63.40242,34.59785
63.31735,34.6147
63.21918,34.62614
63.11836,34.62778
63.02705,34.61629
68.42178,34.96824
68.32358,34.9481
63.20641,34.69873
63.11705,34.69929
63.01192,34.69888
62.91198,34.70209
68.49535,35.0772
68.4183,35.05333
62.81487,34.78498
62.72251,34.79597
68.572,35.18091
68.51506,35.17021
62.69618,34.87727
62.59658,34.88558
62.5238,34.90226
68.59778,35.27269
62.50158,34.96851
62.41054,34.98175
68.67888,35.38472
68.60783,35.36552
62.38582,35.05517
62.28733,35.06735
62.20474,35.08189
68.76221,35.49911
68.69719,35.47092
62.19339,35.15037
68.77972,35.58328
68.86275,35.69487
68.79364,35.67156
68.94384,35.80743
68.88395,35.78167
61.97275,35.46151
61.88578,35.45813
68.96461,35.8935
69.04479,36.00589
68.98158,35.98289
61.6665,35.63034
61.59368,35.63355
69.12605,36.11672
69.06845,36.09074
61.46477,35.7418
61.35832,35.73656
69.1463,36.20306
61.33567,35.81158
69.23169,36.31485
69.16785,36.28089
69.30575,36.42835
69.25217,36.40314
61.03976,36.00063
69.32911,36.5156
60.843,36.08965
60.7626,36.11091
69.40822,36.62621
69.35614,36.59518
69.43548,36.71625
60.53284,36.28707
69.50971,36.82074
60.32043,36.38845
69.59283,36.9423
69.53448,36.90906
60.2284,36.45498
69.61087,37.02615
60.02761,36.57375
69.69234,37.1351
69.63043,37.11142
59.81781,36.66553
69.77518,37.24821
69.71619,37.21965
59.8012,36.72673
59.70641,36.74209
69.79491,37.33695
59.58753,36.84899
59.52273,36.8516
69.87953,37.44134
69.81104,37.42497
59.40028,36.93033
59.3212,36.93451
69.97662,37.55499
69.89867,37.53524
59.30261,37.00382
59.20069,37.0275
69.98115,37.64083
59.09488,37.11385
70.06262,37.75241
69.99862,37.72914
58.98242,37.20034
58.89371,37.20674
70.15341,37.86178
70.08212,37.84492
58.78392,37.29261
58.69412,37.31657
70.16759,37.95583
58.66338,37.37756
58.58552,37.40444
70.25779,38.06422
70.18891,38.04299
58.46547,37.47084
58.37701,37.49541
70.34055,38.16296
70.26714,38.15177
58.36035,37.55986
58.26319,37.58736
70.35556,38.26275
58.16423,37.6728
58.07527,37.68472
70.44216,38.36908
70.36686,38.35558
58.06159,37.74279
57.96914,37.75684
57.86694,37.77932
70.52615,38.48706
70.45093,38.45563
57.85747,37.83332
57.77631,37.86057
57.45701,37.84648
57.36996,37.85315
70.61571,38.59562
70.54226,38.57653
70.46667,38.5513
57.65983,37.94642
57.54239,37.95001
57.45652,37.92643
57.35224,37.93651
57.24017,37.93391
57.18168,37.94011
70.62484,38.68115
70.55037,38.66936
57.63125,38.03477
57.557,38.02299
57.33405,38.00915
57.24841,38.02519
57.15384,38.02403
56.95646,38.03706
70.71706,38.79233
70.63725,38.77269
57.63539,38.14281
57.13514,38.10945
57.04147,38.1208
56.93855,38.11273
70.79816,38.89897
70.72459,38.87856
57.02874,38.19888
56.9369,38.21057
56.83472,38.22172
56.71893,38.21422
70.80863,38.99051
70.73405,38.96979
56.82026,38.28543
56.73561,38.29572
56.6379,38.29927
56.53613,38.31874
70.89561,39.1018
70.82588,39.08055
57.82921,38.43566
56.71121,38.37807
56.62276,38.38782
56.54028,38.39326
56.45216,38.38853
70.91013,39.19001
56.51582,38.47298
56.42469,38.47645
56.32986,38.48831
56.24926,38.48573
70.99431,39.29628
70.92111,39.27562
56.30906,38.54829
56.21807,38.57311
71.06991,39.40931
71.00822,39.3899
71.08929,39.49994
70.99782,39.49044
56.09241,38.7497
56.01385,38.77572
71.18512,39.61091
71.09208,39.59306
70.99249,39.59963
55.9032,38.84509
71.26574,39.71868
71.19519,39.6983
71.35689,39.82336
71.28504,39.81054
71.08739,39.79958
71.36301,39.91602
71.28624,39.89512
71.18033,39.90344
71.45016,40.03139
71.38155,40.00674
71.26173,40.00489
71.18208,39.99758
71.46715,40.11856
71.36158,40.11638
71.26604,40.10866
71.55134,40.23096
71.47038,40.21381
71.35296,40.21959
54.46045,39.40376
54.38472,39.39878
71.63085,40.34277
71.56437,40.31814
71.4509,40.31911
71.36002,40.312
54.36728,39.48023
54.27517,39.49092
54.19285,39.50223
71.72141,40.45282
71.64851,40.43156
71.56116,40.41682
71.44675,40.41689
54.34639,39.57468
54.25816,39.56904
54.16615,39.58056
54.0779,39.58872
71.73207,40.53933
71.65823,40.52473
54.15665,39.66285
54.05341,39.66211
53.96924,39.68264
53.8866,39.69249
71.81881,40.65071
71.74497,40.62726
54.06004,39.74518
53.94865,39.75595
53.8567,39.76075
53.7728,39.78027
72.32455,40.7858
71.83167,40.73964
71.75497,40.72178
53.84732,39.85069
53.74773,39.85105
53.65736,39.86531
53.56938,39.87856
72.41331,40.88191
71.91154,40.84874
71.84331,40.8265
53.73454,39.93641
53.64272,39.94244
53.54976,39.93971
53.45782,39.95951
72.49478,40.98602
72.43517,40.95842
71.99977,40.95844
71.93117,40.93647
53.53133,40.04139
53.43843,40.03802
53.34774,40.04231
53.26158,40.05306
72.51514,41.07129
72.01167,41.04177
53.33779,40.12931
53.23537,40.13337
53.15044,40.14528
72.59783,41.18256
72.52557,41.1581
72.10107,41.15568
53.22976,40.21196
53.13338,40.22462
53.03745,40.23083
52.94399,40.24144
72.67803,41.29396
72.62039,41.27217
72.19284,41.2746
72.12354,41.24163
53.02446,40.31847
52.92445,40.31538
52.84327,40.32519
72.70188,41.38063
72.19892,41.36361
52.9143,40.40213
52.82152,40.40713
52.72593,40.41145
52.64019,40.42851
72.78405,41.49314
72.72229,41.46846
72.28607,41.46636
52.71165,40.4953
52.62209,40.50095
52.5258,40.51038
52.44034,40.52563
72.86651,41.60898
72.8055,41.58359
72.30547,41.55556
52.60789,40.58289
52.51201,40.59633
52.41943,40.59939
72.8825,41.69466
72.38056,41.67331
52.40502,40.68329
52.32538,40.6967
72.96121,41.8027
72.90291,41.7838
72.39578,41.76569
52.29616,40.77857
52.21848,40.7946
52.11709,40.80916
52.01132,40.79378
73.05138,41.91394
72.98317,41.8907
72.47497,41.86958
52.19575,40.88332
52.10592,40.87977
52.0038,40.86255
51.90833,40.88064
51.82407,40.89284
73.0659,42.0051
72.99543,41.97959
72.57281,41.98049
72.49508,41.96083
52.09258,40.97181
51.99136,40.97271
51.89368,40.96302
51.80113,40.96834
51.70502,40.97655
73.14829,42.11523
73.08768,42.09403
72.65419,42.08584
72.58817,42.06034
51.78431,41.04893
51.69207,41.05912
51.59801,41.06883
51.51321,41.07227
73.23373,42.23788
73.17025,42.20299
72.75138,42.1941
72.67039,42.17472
51.6701,41.1296
51.58265,41.14527
51.49144,41.15395
51.39766,41.16528
73.24937,42.30969
73.18055,42.28974
72.75497,42.29117
51.47443,41.23358
51.38422,41.24213
51.29346,41.24879
51.20048,41.26358
73.2569,42.39942
72.83971,42.39854
72.78175,42.37426
51.35709,41.31363
51.27492,41.33195
51.18185,41.33756
51.08784,41.3488
72.93518,42.50673
72.8569,42.48687
51.16355,41.41241
51.07187,41.42941
50.98104,41.43796
50.89213,41.44878
72.93706,42.60701
72.87098,42.58316
51.05179,41.50261
50.96381,41.51399
50.87541,41.52415
50.77934,41.52978
73.01783,42.70798
72.95351,42.69251
50.85241,41.60109
50.76647,41.61417
50.6704,41.62188
73.03034,42.80046
72.96091,42.7822
50.73771,41.68333
50.65959,41.69888
50.56751,41.71414
50.47177,41.71735
73.11846,42.90954
73.04685,42.88683
50.54133,41.78654
50.45414,41.80502
50.36885,41.81773
73.20285,43.01532
73.13052,42.99965
50.34577,41.88438
50.25459,41.9034
73.29218,43.12813
73.21367,43.10881
73.14635,43.08257
50.23453,41.96803
50.14516,41.99022
50.05965,41.99818
73.30392,43.22297
73.23048,43.198
50.03805,42.07006
49.95049,42.08916
93.76349,44.30669
73.38076,43.32225
73.31584,43.3144
49.9287,42.15247
49.83925,42.16959
49.74729,42.18856
73.39774,43.41776
73.33038,43.39914
49.80647,42.24683
49.72961,42.25319
49.6417,42.26459
49.54446,42.28612
73.48095,43.52935
73.41107,43.5103
49.62043,42.34293
49.52943,42.35543
49.43534,42.36506
93.76469,44.60956
73.56648,43.64439
73.4978,43.62247
49.41964,42.44502
49.32445,42.44463
49.23787,42.46432
76.38199,43.8638
76.19395,43.85254
75.80411,43.82724
75.67793,43.83707
75.49516,43.81799
75.37943,43.80961
75.19648,43.80665
75.08551,43.80788
74.88509,43.79741
73.58102,43.73149
73.51087,43.71075
49.31033,42.52971
49.21661,42.53823
49.11953,42.54201
75.68074,43.9336
75.57529,43.92496
75.18333,43.90174
74.98675,43.89573
74.88976,43.8885
74.68511,43.8834
74.58221,43.87171
74.48208,43.86368
74.37943,43.86743
74.28544,43.8536
74.17838,43.8561
74.08141,43.8406
73.98347,43.84405
73.88401,43.8418
73.7756,43.83587
73.67144,43.83589
73.59786,43.81741
49.19637,42.61539
49.10898,42.63285
49.01013,42.63456
48.92558,42.64676
73.98331,43.93764
73.77779,43.93676
73.67129,43.91935
48.99886,42.72307
48.90556,42.72781
48.81359,42.73265
93.75269,44.99995
48.79766,42.81483
48.70578,42.81542
48.61812,42.83418
48.69332,42.90386
48.60406,42.90171
48.61541,43.00092
93.75956,45.31823
48.68391,43.12387
93.74522,45.39656
48.87001,43.4325
93.79668,45.70429
93.74694,45.70553
48.97937,43.6334
49.05304,43.74857
93.78094,46.01808
49.0811,43.81678
49.15163,43.93227
49.24052,44.06162
93.76966,46.40389
49.3465,44.25844
49.41984,44.36067
49.45092,44.4431
93.7702,46.72186
49.52742,44.55963
93.76396,46.79446
54.20599,44.90769
49.59846,44.67107
54.20938,44.99192
54.09636,45.00614
49.63963,44.74841
55.2194,45.15854
54.28924,45.09786
54.20153,45.09168
54.10406,45.07867
49.70901,44.86134
93.76084,47.10957
55.18195,45.24126
55.103,45.2494
54.36525,45.20221
54.30023,45.18437
54.18363,45.18803
54.12334,45.16603
49.78093,44.97558
55.16215,45.30821
55.08449,45.32007
55.00031,45.34302
54.91972,45.34401
54.47206,45.31751
54.39467,45.29442
54.2757,45.29799
54.21083,45.27396
49.86484,45.09439
49.81858,45.061
54.9735,45.40608
54.88677,45.42342
54.79704,45.43895
54.47231,45.40981
