x,y
142.7158,80.66092
142.7363,80.14063
142.5981,84.04469
142.607,83.45268
102.6105,43.98851
102.5483,43.98039
101.1225,43.75612
100.9334,43.9474
100.9318,43.88179
100.8314,43.95835
100.7235,44.04762
100.7413,43.97395
100.6282,44.07788
100.5333,44.0779
100.4223,44.12107
100.438,44.07971
100.3379,44.12413
100.3332,44.07927
99.99007,61.81547
100.2321,44.12112
100.2304,44.07909
100.1324,44.1197
100.1303,44.07775
99.79915,61.81315
100.0343,44.11467
100.0342,44.07436
99.69521,61.80882
99.93449,44.11407
99.93299,44.07165
99.82839,44.10858
99.836,44.07232
99.48717,61.77122
99.7344,44.07216
99.63219,44.07227
99.53344,44.06972
99.4342,44.07117
99.33205,44.06846
98.9753,61.76757
99.23161,44.10389
99.23293,44.06762
99.13035,44.09725
99.13222,44.06437
99.02921,44.06507
98.93154,44.06322
98.83098,44.0568
98.72729,44.06062
98.47301,55.19995
98.46516,55.15397
98.49779,51.61499
98.63357,44.05851
98.3801,55.19732
98.37546,55.13635
98.36956,55.05148
98.4213,51.60991
98.41444,51.54255
98.45605,47.90855
98.46007,47.83206
98.5315,44.0551
98.27158,55.18835
98.27917,55.13426
98.27594,55.04724
98.32633,51.60627
98.32811,51.53725
98.3298,51.45337
98.37138,47.90601
98.37356,47.85575
98.4336,44.05415
98.17502,55.18892
98.17902,55.13253
98.17603,55.04925
98.22702,51.60453
98.22781,51.5335
98.23402,51.44981
98.27819,47.90446
98.27732,47.85826
98.33605,44.05446
98.08023,55.18789
98.07855,55.13256
98.07677,55.05394
98.12756,51.60306
98.1273,51.52789
98.13292,51.44727
98.17881,47.90173
98.18118,47.85806
98.23676,44.05464
97.97115,55.18432
97.97758,55.13121
98.02748,51.60157
98.03113,51.52455
98.01894,51.44794
98.07936,47.90011
98.08077,47.85958
98.13472,44.04757
97.87209,55.1984
97.8779,55.13128
97.87189,55.04988
97.92646,51.60141
97.92693,51.52752
97.93519,51.44736
97.97909,47.901
97.97865,47.85918
98.03225,44.05045
97.77339,55.42331
97.77863,55.32211
97.77865,55.21284
97.77969,55.12981
97.77824,55.0509
97.82647,51.60424
97.83029,51.52097
97.83105,51.44277
97.87745,47.89864
97.8791,47.85679
97.6706,55.48267
97.66818,55.42834
97.66754,55.31435
97.67774,55.21104
97.68366,55.1284
97.68567,55.04856
97.70216,52.19767
97.69963,52.11642
97.70065,52.01843
97.699,51.91798
97.69713,51.81635
97.70054,51.71347
97.72695,51.60887
97.73335,51.52065
97.7318,51.43916
97.77779,47.89675
97.77663,47.8482
97.77221,47.71551
97.83084,44.05018
97.56998,55.47967
97.57584,55.42997
97.58097,55.33378
97.65153,52.19104
97.65188,52.11278
97.6519,52.01831
97.65268,51.91986
97.65197,51.82082
97.65477,51.72048
97.65347,51.61967
97.69044,47.89753
97.68225,47.8306
97.67957,47.71914
97.67155,47.61853
97.47063,55.48116
97.47294,55.4276
97.47964,55.33938
97.60494,47.8989
97.59566,47.83147
97.58349,47.60815
97.57751,47.55404
97.37828,55.47717
