x, y
-0.4504873,0.8641611
-0.3124619,21.52515
-0.2019937,22.02997
-0.1924678,27.815
-0.1920181,21.03563
-0.1883063,28.23293
-0.1746489,27.75648
-0.1614974,32.63281
-0.1598399,32.93425
-0.1510756,25.42266
-0.1494318,26.42305
-0.1478905,26.13905
-0.1471452,26.22484
-0.1445393,25.62227
-0.1409737,25.93122
-0.1394781,31.03123
-0.1357159,25.72984
-0.1347174,25.82561
-0.127622,24.42975
-0.1274592,24.23268
-0.1272769,11.59315
-0.1269227,23.73666
-0.1269027,24.12571
-0.1263393,11.67285
-0.1250806,24.32128
-0.1242945,23.91738
-0.1227714,11.76661
-0.1226856,23.63806
-0.122145,24.05037
-0.1220463,11.86091
-0.1213954,23.33504
-0.1211233,23.52547
-0.1210848,23.02912
-0.1209231,23.24037
-0.1206749,23.43966
-0.1190919,11.93736
-0.1190597,22.82344
-0.1189254,23.82053
-0.1180326,0.9603268
-0.1171686,23.13121
-0.1162256,1.07109
-0.1147553,22.93039
-0.1132194,22.0259
-0.112708,11.26686
-0.1126252,11.16412
-0.1125782,11.06388
-0.1124136,0.8641618
-0.111921,1.264313
-0.1110195,0.7598413
-0.1104552,11.35441
-0.1104484,10.76315
-0.110335,28.14729
-0.1099785,22.73181
-0.1081358,10.96574
-0.1080374,22.23645
-0.1080013,21.63069
-0.1079507,22.3253
-0.1073627,22.12877
-0.1070058,22.62835
-0.1067494,22.54552
-0.1066898,10.86931
-0.1060746,21.94329
-0.1039069,28.23112
-0.1037041,0.5572462
-0.1016033,0.3555934
-0.1015514,21.84654
-0.1010533,21.72561
-0.1006691,0.4565925
-0.1005115,0.6592076
-0.1004677,21.04507
-0.1003162,0.07138602
-0.09857165,10.6616
-0.09837293,0.25821
-0.09766103,5.56312
-0.09716124,5.648231
-0.09678484,10.36779
-0.09663298,10.46435
-0.09655508,5.262504
-0.09638875,28.53444
-0.09633242,5.091408
-0.09614762,28.32837
-0.09544149,5.360785
-0.09541648,5.163671
-0.09517156,5.460829
-0.09510248,10.55771
-0.09464803,21.22697
-0.09400798,0.1597375
-0.09390764,10.27317
-0.09368376,28.42615
-0.09311471,27.82687
-0.09251712,21.1335
-0.09163764,10.15532
-0.09092589,27.93104
-0.08992042,4.853836
-0.08990678,28.6311
-0.08937947,28.71749
-0.08890603,27.32977
-0.08861189,10.06682
-0.08857162,9.477997
-0.08853705,4.663905
-0.08843435,4.762334
-0.08825472,9.966102
-0.08817216,4.944695
-0.08756115,9.57043
-0.08751944,9.86621
-0.08715956,4.561847
-0.08692462,11.76843
-0.08654998,4.363962
-0.08619376,27.42897
-0.08587388,4.463488
-0.08515318,9.762793
-0.08454211,9.664999
-0.08334239,26.92864
-0.08269313,4.063899
-0.08257467,4.262412
-0.0819649,27.03079
-0.08168901,4.16508
-0.08117276,9.164269
-0.08077318,9.333604
-0.08014034,3.96238
-0.08007286,11.67249
-0.07958637,9.064421
-0.07899253,3.861325
-0.07853488,9.25821
-0.07785911,32.52604
-0.07697494,3.764908
-0.07670956,8.965427
-0.07631303,8.865794
-0.07577952,3.564246
-0.07530924,26.02809
-0.07493275,33.12571
-0.07486004,3.667491
-0.07485724,8.765754
-0.07481431,26.14977
-0.07472393,26.42774
-0.0737933,32.94319
-0.07366459,32.63302
-0.07350373,3.464164
-0.0734043,28.01999
-0.07319229,26.61963
-0.07280467,8.265063
-0.07275307,8.365332
-0.07270793,8.461034
-0.07220055,26.83402
-0.07219906,3.364812
-0.07202869,26.73185
-0.07186944,27.11056
-0.07181368,32.4266
-0.07179791,33.0315
-0.07155412,3.263628
-0.07119688,8.667971
-0.07110669,32.72857
-0.07084225,25.92757
-0.07082738,11.87632
-0.07039754,2.863294
-0.07021895,3.065104
-0.07016227,3.165138
-0.07001623,2.963355
-0.06934833,26.22699
-0.06934177,26.33435
-0.06918243,2.765008
-0.06908633,8.56741
-0.06887428,32.83229
-0.06871311,26.52914
-0.06718217,8.166796
-0.06711149,25.82883
-0.06695831,2.665005
-0.06692394,8.06517
-0.06603739,2.357832
-0.06592415,11.26781
-0.06580408,7.76262
-0.06564356,25.73293
-0.06531996,7.665449
-0.06457631,25.43515
-0.06444685,7.963177
-0.06413279,2.261417
-0.06335545,7.862888
-0.06183938,7.464852
-0.06177905,7.564506
-0.0612069,2.16209
-0.06011482,2.063563
-0.06005948,7.364044
-0.05932834,11.16831
-0.05921729,25.63163
-0.05879279,25.33297
-0.05870812,11.06376
-0.05826237,11.94041
-0.05746052,6.965471
-0.05742214,2.575972
-0.05728905,1.963899
-0.05713587,24.73363
-0.05697843,1.864262
-0.05666522,25.54009
-0.05610756,7.296028
-0.0560937,11.36773
-0.05591645,23.93183
-0.05559226,10.96521
-0.05462991,1.764455
-0.05428721,1.663451
-0.05411671,24.23159
-0.05395805,6.86475
-0.05384567,32.34998
-0.05371781,25.23257
-0.05320658,7.057554
-0.05280443,10.86522
-0.05278391,25.02333
-0.05239766,6.765183
-0.05178808,1.563466
-0.05073253,2.447281
-0.05018564,1.463419
-0.049509,24.32887
-0.04917408,6.666222
-0.04907056,1.363164
-0.04867067,24.13362
-0.04858081,24.8308
-0.04792822,24.6321
-0.04784843,6.565571
-0.04775894,24.934
-0.04707723,5.563891
-0.04645659,5.464352
-0.04643217,24.42373
-0.0463827,5.666555
-0.04608009,1.265669
-0.04572086,5.36428
-0.04558487,1.164083
-0.04511784,5.264483
-0.04476691,24.53099
-0.04470648,6.464229
-0.04425381,5.096435
-0.04415187,23.73366
-0.0441246,23.82632
-0.04402085,23.53403
-0.04400191,11.57963
-0.0436087,1.065108
-0.04348297,6.16508
-0.04317579,24.04479
-0.04274321,5.965261
-0.04221702,25.1339
-0.04204777,6.066234
-0.0420445,4.861171
-0.04180919,0.8645163
-0.04175431,0.9660972
-0.04163315,0.7638472
-0.04130241,11.44061
-0.04095987,23.33371
-0.04093965,23.43827
-0.04029442,6.261354
-0.04025206,23.6324
-0.03971943,6.367726
-0.03971841,10.36481
-0.03967879,10.76439
-0.03918152,10.46982
-0.03829839,10.66158
-0.03811069,5.166364
-0.03775927,0.6650913
-0.03773068,0.5617844
-0.03726644,5.86737
-0.03721245,4.767072
-0.03682945,4.266686
-0.03681612,23.22799
-0.03678135,4.465551
-0.03633568,5.765065
-0.03625983,12.13245
-0.03582942,10.56653
-0.03580413,0.4628654
-0.03498593,4.566628
-0.03491802,0.3634768
-0.03484113,22.73094
-0.03483782,23.02696
-0.0345956,4.363108
-0.03458797,4.664578
-0.03430402,4.163125
-0.03394114,10.26299
-0.03381728,23.12943
-0.03366522,0.2648818
-0.03336314,3.963684
-0.03330014,4.06323
-0.0320041,3.866752
-0.03150543,4.947732
-0.03109091,0.1638189
-0.03095853,12.08774
-0.02983178,3.763943
-0.02928996,31.02844
-0.02928399,22.83229
-0.02899243,8.964454
-0.02890303,3.660216
-0.02853469,9.064008
-0.02770355,30.83953
-0.02709513,9.965978
-0.02606571,10.16109
-0.02582107,3.565863
-0.02562393,3.462838
-0.02536478,9.864057
-0.02520223,22.53149
-0.02467121,9.765779
-0.02434678,30.92971
-0.02398855,9.665418
-0.02387692,9.170312
-0.02372408,3.365919
-0.02340464,29.94111
-0.02329025,22.63326
-0.02292523,22.93416
-0.02245158,30.53288
-0.02238915,0.06703342
-0.02166472,10.06973
-0.02083709,22.13441
-0.02015976,8.860548
-0.01946112,3.266742
-0.01941817,30.33485
-0.01935797,30.13754
-0.01887201,9.563924
-0.01886304,3.164375
-0.01793808,21.73997
-0.01792759,21.83234
-0.0178762,22.32666
-0.0172706,22.22724
-0.01692808,9.472674
-0.01691381,21.9441
-0.01690329,3.0664
-0.01650713,30.42531
-0.01410488,8.763203
-0.01339048,22.02738
-0.01327063,9.267037
-0.0132575,2.962032
-0.01263078,22.43442
-0.01260492,30.23628
-0.01197034,2.860171
-0.01125918,28.53056
-0.01056056,29.13304
-0.009783052,2.764784
-0.009300246,21.22341
-0.009048338,28.72987
-0.008245221,28.92439
-0.007694955,28.63295
-0.006096598,28.33484
-0.005690053,29.03495
-0.005515024,29.62974
-0.005423483,8.663095
-0.005028402,2.1635
-0.004568621,28.2473
-0.004337249,-0.005260529
-0.00407548,8.364311
-0.003954165,28.4322
-0.003857969,28.82164
-0.003237699,29.33309
-0.002673761,8.265794
-0.002068931,21.04159
-0.001133208,21.14986
-0.0009762448,21.5406
-0.0009155464,21.63246
0.0001184476,8.164081
0.0003907196,27.93511
0.0007467836,2.366014
0.001372936,29.24625
0.001530737,28.02883
0.00164369,2.068564
0.002322928,8.472875
0.002583815,21.42552
0.003791654,2.275065
0.003906251,9.36729
0.004938685,1.959836
0.005327384,21.33101
0.006631557,7.663587
0.006673153,8.561026
0.007380749,2.660685
0.007749534,7.565263
0.008059891,6.960868
0.009207946,7.467344
0.009245765,7.768775
0.009423625,7.367237
0.009527259,27.83515
0.01002091,27.03171
0.0107705,26.43672
0.01087144,26.82785
0.01137227,27.43555
0.01140062,7.867747
0.01158219,26.00196
0.01172832,27.7356
0.01196857,6.863652
0.01204723,27.1295
0.01207578,26.53396
0.0140989,27.23331
0.01444241,26.93634
0.0145459,26.73035
0.01466047,25.83679
0.01471484,26.33129
0.01487135,27.63873
0.01511001,27.52805
0.01515842,27.33405
0.01521227,8.061918
0.01537021,7.968699
0.01662143,26.62873
0.01663425,6.666525
0.01725353,6.76748
0.0181399,7.074163
0.02059635,26.23376
0.02312407,25.72837
0.02330434,6.5665
0.023673,25.92786
0.02409547,6.271798
0.02426357,6.16832
0.02444503,6.072994
0.02558628,26.14684
0.02582142,25.54267
0.02629376,2.567616
0.0284124,25.64119
0.02872946,24.93212
0.02990531,25.13386
0.03163007,24.23412
0.03180215,24.7341
0.03268904,33.13179
0.03285542,25.03221
0.0329634,6.46414
0.03358503,25.44191
0.03403432,24.83559
0.03432393,6.367668
0.03435278,24.33329
0.03448319,24.13326
0.03481432,25.33961
0.0352507,32.72707
0.0362088,25.23539
0.0399391,32.93163
0.04027724,24.43053
0.04030272,10.57918
0.04091035,12.0806
0.04119886,32.6375
0.0412368,5.781165
0.04144194,2.481153
0.04154477,23.63153
0.04156593,24.63121
0.04162348,32.83214
0.04216575,23.73598
0.0426803,32.52919
0.0433749,5.870901
0.04413065,10.66323
0.04438154,33.03406
0.04463804,32.43318
0.04464077,24.53423
0.04729877,23.3371
0.04794915,11.96537
0.04804915,23.84069
0.04813173,23.5271
0.04886632,12.1344
0.04941202,7.273481
0.05072432,10.07084
0.05133641,11.88391
0.05188122,32.33488
0.0524915,23.43833
0.05477455,31.12898
0.05487514,32.24382
0.05494398,5.946952
0.05507872,24.03887
0.05531994,31.0301
0.055429,11.44544
0.05689958,30.83779
0.05818589,5.681431
0.05860733,11.3673
0.05878536,30.93459
0.05956281,30.33264
0.06007625,30.23594
0.06095198,22.52688
0.06102963,30.43903
0.06189457,22.13223
0.06295921,23.2355
0.06353866,23.1285
0.06458413,30.13133
0.06493882,22.93457
0.06555392,22.83151
0.06558795,4.996459
0.06717479,30.74968
0.06863236,30.03956
0.06949581,22.23928
0.07006571,31.23293
0.07051414,23.0388
0.07105944,30.53645
0.07175624,7.165343
0.07197427,29.93888
0.07202825,22.63235
0.07278705,22.72971
0.07301106,29.6357
0.07337965,29.83504
0.07414141,11.30077
0.07540936,0.05460785
0.07562533,0.1587006
0.07562753,31.33606
0.07653097,30.61345
0.07665661,22.42909
0.07678182,29.32833
0.07752614,23.93045
0.07863969,22.33365
0.07880301,29.42702
